# NumberOfHospitals NumberOfScenarios TimeHorizon
2 100 4
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
79183 51945  45581 20621  20646 11398  11627 4654  
36339 19863  34316 16891  21796 15335  16293 10544  
59248 28449  39627 23099  22956 14835  16121 7013  
145742 62469  18070 21261  4344 6961  513 1186  
41816 21749  34473 19479  24391 14201  18189 10393  
88897 45338  41218 25205  19476 12308  10094 4112  
109761 70307  37852 16883  14477 3750  4403 1067  
14587 7495  13469 7494  12177 6218  10359 5362  
30569 15336  25345 13590  20537 11557  16816 9265  
43959 21055  31076 13509  22561 10021  18358 10404  
30766 16666  22110 13174  21084 10328  17066 9618  
90257 61635  42819 20563  20370 6799  9674 2134  
43439 19501  34091 17734  23246 11895  18305 10473  
145705 69378  14225 18288  7857 4261  830 315  
61606 33566  32555 22120  27351 13159  14720 8955  
74881 33594  41092 23758  21790 12726  13852 9778  
26597 16336  22272 14515  21863 11110  17827 9041  
28870 17578  22112 14243  19624 10927  17858 8805  
43446 24810  33944 16987  21628 14413  18842 8364  
82935 58398  51109 21405  21446 7825  6466 2770  
96164 59383  46856 20487  13172 7795  6323 2408  
30088 14545  22833 9238  20821 11653  17018 9368  
75274 44597  49330 26974  17851 9512  11676 4936  
28990 17290  25493 13143  16005 10879  17323 9246  
119892 69416  31637 17183  12279 3506  3720 1389  
27887 15838  23124 14448  18938 8987  17833 9626  
134339 59964  27427 25370  5113 3963  1357 2052  
107220 51575  35206 25909  15131 8111  7085 4061  
69507 39641  45392 23019  21212 10699  14506 8937  
72592 52107  44158 23045  24853 8753  8323 4248  
14478 7444  11208 5985  9592 6434  9970 5882  
106893 53119  34911 18543  13539 10711  8144 5628  
31686 24017  27897 16492  23225 13988  22354 10484  
116129 67227  43089 20820  5548 3393  2177 552  
21993 16353  19087 13288  21996 11856  14069 7826  
45030 20750  32634 15305  22725 13323  18331 10517  
122549 67773  30726 18163  10341 3860  3469 1938  
83280 51949  46097 18988  18649 8966  11253 6721  
133205 58537  28445 26846  5255 4265  1495 1796  
137640 73236  25273 13627  4734 4122  961 886  
97574 60658  36468 19885  19741 7911  6554 1910  
15338 7841  13640 6163  12702 6583  11582 6375  
111151 66822  38259 17626  12684 4801  4894 2423  
45666 23046  31932 19881  24933 12442  16627 8561  
12116 6418  12608 8065  11603 5915  9616 5038  
98545 52538  36012 23123  20812 9751  8105 3639  
60647 31191  39012 19241  24553 12617  15996 10550  
86654 61056  50092 20710  19429 6976  6119 1985  
12400 8753  14131 7716  13015 6801  9097 6231  
28354 11464  25418 14325  20571 11157  16703 9102  
106414 70882  30793 14631  20750 5166  7374 1238  
84517 53102  39941 21143  15576 9482  15212 4218  
79754 45765  48660 24808  20322 12546  9940 4411  
96283 53353  48689 25708  13401 7988  5429 3068  
115940 65658  40971 18521  7201 5048  2143 1735  
29881 17471  23794 13513  18324 9524  16553 9645  
107288 79466  48321 10727  7835 1604  2569 390  
74866 35653  39457 17668  23136 17895  13364 9290  
55748 29050  39770 19101  20253 13848  19260 9690  
84889 58560  45721 20496  17339 8430  12576 2828  
69046 50958  51491 22748  23276 9520  12246 5190  
107903 56453  34110 22668  16851 7754  6303 3506  
61300 39281  45964 24592  23735 13135  16434 6037  
24859 14974  25439 13856  20651 11097  16600 8040  
75377 41054  41505 21762  21505 9968  12343 5913  
78941 51605  44718 22848  23388 8833  8208 4763  
90908 46522  49423 25721  14737 12816  7552 4636  
141078 84044  23300 6823  3756 1156  664 259  
128701 80042  25485 9466  10701 1800  3147 948  
56110 33495  34922 22486  18760 12687  18922 9081  
73871 32077  38661 18343  20725 10753  15900 13859  
92768 47812  39461 18342  18591 15106  7923 5347  
105866 48269  38107 28296  15745 9563  5547 3479  
122087 76446  34491 12849  10056 2193  1350 546  
15420 8361  13855 7779  12283 7190  10578 4380  
82956 53164  47229 19693  18407 10366  10096 4898  
104543 57820  27244 14497  21284 12050  10080 4466  
29812 16097  25034 13508  19678 11995  16262 7004  
59127 33935  40132 19609  23057 11652  14073 9146  
144635 83903  20512 7036  2441 1009  507 171  
15094 8289  13194 7242  11711 6866  11541 5767  
27178 17558  16229 13019  21153 9611  14775 9749  
72218 43869  40951 23266  22320 9756  13407 6843  
138333 71825  24566 15373  4483 4381  1113 429  
65633 42903  44813 20466  15595 12216  17451 8038  
62286 38372  43847 22188  25972 15226  13056 6457  
27539 17096  19154 12354  16912 9572  19181 9681  
87929 48318  37795 20818  18895 11117  12453 6990  
77137 38305  37436 20119  24353 15412  12399 8494  
57797 35270  37645 19161  26844 13271  13640 8288  
107065 57746  38241 18070  14020 8744  5313 4444  
54493 28380  35934 21200  25545 16275  17139 8338  
23001 13747  20446 14037  20026 9313  16774 8484  
138032 68171  22859 14402  5935 7538  1537 1842  
103979 46582  40951 26762  13198 10653  6524 5489  
85983 35549  37215 17206  19754 12809  13311 12490  
11664 6644  10433 7275  12052 6073  11335 6030  
60461 38894  43643 25351  24662 9989  12067 7483  
46992 25276  42579 24704  26987 12582  14337 10145  
132266 75599  29406 13927  5967 2004  847 662  
