# NumberOfHospitals NumberOfScenarios TimeHorizon
3 20 2
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
17007 17084 9122  9281 7985 4155  
23856 19134 10785  7616 9203 3961  
34158 28988 14671  1670 7651 2322  
2569 3504 1288  2491 3145 1198  
23749 33459 13473  6838 5843 2240  
19546 35806 12344  13140 4326 4148  
3401 2789 1435  2994 3276 1453  
16804 25803 9429  10022 9350 4782  
26084 25087 14329  7744 10106 2592  
12122 14465 5939  9013 6407 3673  
34446 27188 15187  1351 12089 1933  
10510 14410 5391  9447 8298 4086  
2884 3469 1373  3102 3004 1410  
6167 6099 2655  5181 6216 2629  
15143 15451 6578  9413 10006 4476  
15983 15088 7969  9414 10298 4162  
33846 31891 15107  1272 8082 1673  
29665 31003 14715  4744 7783 1999  
12586 14632 6417  4900 9125 3015  
3456 6981 2365  5076 6082 2674  
