# NumberOfHospitals NumberOfScenarios TimeHorizon
3 100 3
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
89103 82561 80226  48938 37343 30804  13197 12999 14007  
101605 95615 93000  42972 33884 28647  21940 13691 10245  
96966 81117 68127  39527 37003 38930  22585 15909 13125  
49633 42341 37427  35839 29910 26006  24661 19929 17798  
126921 125892 131387  38045 21569 6025  6647 2097 161  
80298 85021 95484  54509 42401 31303  19658 11996 6699  
47818 37525 28652  36779 30505 26784  26021 20992 18163  
32011 33830 37481  31344 29787 28790  25882 21872 19864  
36472 32766 32560  36403 28891 24261  26404 23031 21557  
94779 76485 65242  39626 34947 34256  24632 21999 20832  
121835 112788 114578  50016 33292 19719  3412 2943 2761  
144239 126384 116410  25683 19253 17726  7624 3994 2607  
16578 14011 12158  12181 11909 12161  13419 10631 8945  
32549 27406 24339  23265 19340 17581  19101 18435 18597  
75713 66422 58308  42288 38228 38585  28343 21241 18075  
48067 39583 32386  36640 30147 26181  21693 20326 20173  
159804 120798 88223  14882 21932 33615  2335 4565 10144  
27270 26446 26748  23180 21348 19845  19138 17856 17647  
46482 39853 34123  35378 30586 27967  27195 21472 18346  
16444 12929 10462  14544 11038 8170  13604 11821 10745  
29942 32817 37191  36367 31309 28516  14452 16137 18010  
32112 27036 22862  25832 22848 21119  22376 17838 15260  
30815 27976 26309  27523 21490 17427  21982 17419 14025  
158513 119641 86655  14081 22199 37200  5162 6628 10256  
116168 106139 97600  38365 31224 30915  16773 9792 7024  
127496 121573 120451  43655 23980 13117  6677 4069 3084  
118846 117362 118988  41263 24670 13823  14117 7102 4210  
104129 96382 87184  50557 39349 38185  16504 9389 7271  
28211 23501 21300  19327 18138 18787  15881 14007 13859  
103955 103471 106065  37084 28308 22389  18319 11647 6813  
124875 118531 121901  44988 28319 14324  3998 2184 1018  
75770 65506 56302  44221 39359 39128  25025 19879 17777  
89899 81719 75501  47367 38497 35382  17721 15456 15389  
42450 39196 36305  37424 31231 28040  22148 20694 20488  
64851 52917 42973  41343 34340 30129  25405 21635 20308  
100674 82376 69506  39181 35113 35694  19468 18185 18852  
32282 26224 22427  27381 22119 18193  19608 17061 16361  
44372 41330 39972  37438 30647 26392  23299 20992 20617  
82321 64203 51079  42250 33829 27095  23555 22536 23912  
32727 28011 24550  23369 21991 21999  20613 17787 15753  
137275 131871 133284  24548 12243 3036  10859 4677 1010  
68581 64605 64960  47633 35905 28758  23459 20139 19018  
37222 37842 39536  36472 31311 28383  19052 18261 18786  
37151 33470 33245  36344 30753 27686  20152 20075 21113  
148840 115677 90409  23020 25400 31525  4624 5825 9730  
57954 50845 43992  34659 32532 32174  32141 23824 19745  
16368 13988 12554  13657 12264 11778  11662 11075 11017  
74163 70334 64850  50571 42367 39992  25978 20253 18818  
101043 90355 80279  47842 38513 36855  15703 12833 13245  
32599 33888 37244  23539 24121 25919  23612 21928 20894  
56652 54026 53485  38788 34387 32609  26752 21240 17175  
71553 72772 77714  52683 42495 34946  26557 19197 14547  
106127 96508 92655  32737 30381 29774  25354 15565 9684  
113502 105879 95940  46492 30224 27082  13709 10928 11929  
88853 82284 78181  48816 38345 33114  22886 16172 13232  
69084 80341 95108  53787 39817 28330  24837 17794 10249  
86497 78708 76772  49498 40556 34231  23418 17337 14510  
87000 81855 79424  47713 36473 29396  24342 18029 15884  
32842 25897 21061  26814 22429 19865  21778 19180 17883  
16280 13327 11479  13728 11479 10359  12769 10391 9065  
59243 54393 52892  33494 32433 32425  28371 22434 19354  
122278 107701 105181  39784 34515 29634  7728 5113 2120  
66786 64836 66302  40275 36545 34419  27860 19704 15283  
115549 95369 82387  41262 33914 30109  14005 12848 13920  
83529 67934 57198  40561 37951 37865  23305 19861 19445  
17548 19946 23457  24547 22011 21086  18116 17049 17018  
93770 82757 77423  34977 33531 34386  23616 15762 11583  
65117 67905 74700  52131 39593 31686  29161 23154 18208  
49703 41280 35846  33706 27877 24917  25306 22183 20086  
27809 26676 26209  25661 22594 20522  17825 17184 17349  
149618 120348 97322  21550 22986 31310  5485 4529 5581  
137224 125529 119092  33155 20921 15733  6892 3065 1830  
99262 91080 89621  35613 30127 27874  15928 13629 11791  
45237 40250 38274  37432 29875 24798  19975 18935 19799  
80567 78804 80148  54240 39676 30720  21813 17514 15551  
131484 107916 92804  28313 25959 27926  11553 10036 10212  
78811 75902 80025  37564 37067 36016  25594 19978 13945  
59768 53131 47352  41822 35032 31232  27730 23322 22272  
51375 59856 71022  36907 35780 34110  37902 25708 17050  
25838 24510 25059  19725 16844 16094  19440 17476 16972  
12576 11622 11748  13050 12320 12211  11721 10669 10457  
44248 40081 36592  34723 30707 28913  26900 22332 20052  
55474 57277 62533  47840 39984 35064  19715 18604 17691  
49315 41982 36577  34996 27311 21522  24735 22444 22625  
106166 98745 99267  51400 39204 29262  12739 8747 6995  
112088 102324 102579  37527 33036 28670  15613 9085 4348  
44162 38320 32803  34999 31306 30211  24718 21843 20738  
49625 40569 33400  35231 30918 28905  21879 20273 19817  
66859 66743 71852  54490 40573 31601  23008 20126 18358  
89457 87724 91166  52347 38612 29508  11779 10670 9815  
67317 65779 66796  47179 38100 33127  24291 19707 17508  
13116 12893 13282  14107 12630 11602  9803 10007 10648  
92749 84108 79307  47440 36481 30037  21023 15142 12553  
111819 109358 116426  49302 29850 15400  8943 6402 3703  
74490 64538 55328  47175 35901 29434  25370 19984 17872  
15032 13358 11931  13422 11533 9858  12976 11363 10295  
30146 27329 25218  25169 22492 21555  20378 17964 17183  
57401 54341 53574  42730 34562 30200  28103 22981 19814  
47917 42370 39143  27078 26701 28034  23104 21188 20474  
110932 92114 83401  34309 30313 30073  18072 17759 17576  
