# NumberOfHospitals NumberOfScenarios TimeHorizon
3 100 4
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
94204 77257 62307  45856 40236 40245  20800 16238 15187  8773 7161 7347  
98758 86829 74736  48781 40062 39444  15373 13080 14259  8255 5708 5307  
98486 82610 75436  33076 33422 36634  22312 18423 15485  11018 7458 5064  
31386 28000 25693  27545 22098 18599  20143 17705 17028  16651 15169 14652  
98498 93610 93550  32652 28257 26313  23918 17222 11972  9066 5776 3602  
106319 100050 103229  55406 41507 29346  9757 5661 3576  5903 2700 1146  
16532 12893 10055  13958 12404 11237  13021 11689 11051  12075 10566 9910  
86848 75244 63900  48425 41949 41994  24293 18210 16451  10573 8412 8467  
144736 124128 115350  31725 23473 17644  1190 1553 2868  1025 1068 1426  
165498 131953 105172  11243 16474 30605  1782 1504 1310  656 583 406  
114096 108134 105222  43731 31264 25002  11115 7225 5488  6918 2891 1416  
98286 109119 124268  38219 25884 10574  19178 10044 2264  19023 5098 472  
56034 53105 51093  35306 31496 28761  27749 23612 22496  19394 15313 13614  
128624 121898 120658  38364 23425 14390  7703 3824 2057  3072 1153 426  
123565 106222 99786  46036 37256 30463  6733 5413 5923  2004 1311 1162  
67004 53748 44134  37558 33451 30670  24390 20225 19314  17555 14975 14682  
96290 79639 69694  34414 32384 34204  26829 20905 17011  11782 8937 7394  
15831 12792 10159  12658 11325 10076  13600 10546 8224  12771 10269 8707  
164113 131518 104885  11061 13243 22595  2370 4065 8482  892 1126 1265  
150943 121787 99985  23051 22763 28177  4174 4855 7546  783 911 1524  
10467 11260 12574  12762 12211 12130  13184 11738 10893  11435 10404 9859  
144162 122272 104360  28958 22401 24907  4467 4005 5501  728 983 1818  
126984 112289 104372  38774 27920 22333  9792 7329 7243  2231 1995 2398  
33141 25889 20492  25556 23091 21687  21529 17467 14450  18234 14687 12497  
38637 36837 34671  33191 29910 28183  28337 23456 21236  17804 15830 15536  
108782 105614 104847  52082 33533 23497  12330 7635 5929  3467 2630 2563  
53245 48613 48246  41973 35180 31538  17837 19004 20706  17846 14464 12643  
126465 126788 132386  26662 15828 4230  22730 7559 946  2924 411 35  
132318 122309 115267  33795 23036 19610  8562 3837 2114  2955 996 466  
22358 23554 25730  23916 20938 19863  22689 18860 16732  14464 12749 12390  
54939 51380 48004  41844 36463 34263  29797 22239 18005  19482 14731 12782  
82082 70758 63355  37772 34655 35165  22561 18962 16492  15432 11192 9628  
58863 48819 43717  41741 34096 29648  27385 24680 23865  16902 14478 13723  
14835 13527 12528  14458 12215 10433  13080 10643 8689  11988 9806 8172  
93035 101508 113740  55084 37342 20590  20978 9374 2855  6514 1860 351  
126907 111836 100937  37697 28839 27234  9176 7107 7335  3840 1885 1316  
31207 25633 22432  26377 22985 21250  19481 17712 17435  18193 15674 14364  
