# NumberOfHospitals NumberOfDistricts TimeHorizon
4 20 2
# CapacityOfPermanentFacility CapacityOfMobileFacility
3120 200
# SetupCostOfPermanentFacility SetupCostOfMobileFacility MovingCostOfMobileFacility
9472.36 322.98 1
# OperationalCost StorageCost BloodTransportationCost
0.0690567 1 0.02
# Districts's infos (Supply Latitude Longitude)
296 48.8691 2.33291
2111 48.8706 2.34875
2103 48.8654 2.35613
1884 48.8642 2.36258
1894 48.8596 2.36258
2084 48.8516 2.3648
2565 48.8485 2.35038
1361 48.8546 2.34015
1943 48.8523 2.33937
5534 48.8574 2.30054
4587 48.8784 2.33746
2031 48.8768 2.33927
4757 48.879 2.35192
3315 48.8698 2.35269
5088 48.8691 2.35565
5665 48.8468 2.37461
15182 48.8279 2.37288
8191 48.8269 2.32624
18047 48.8344 2.29822
6275 48.8927 2.35604
# Hospitals's infos (Capacity Latitude Longitude)
15601 48.8288 2.33914
15600 48.8294 2.31138
7800 48.8292 2.31105
7800 48.8227 2.33301
